Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MZ515786,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-9397-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-12-24,,"Human respiratory syncytial virus B isolate OX02-9397-V01, complete genome"
MZ515787,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0039-D11,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,partial,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-01-25,,"Human respiratory syncytial virus B isolate UU02-0039-D11, partial genome"
MZ515788,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8448-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15235,GenBank,partial,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-22,,"Human respiratory syncytial virus A isolate OX02-8448-V01, partial genome"
MZ515789,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0038-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15274,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-01-12,,"Human respiratory syncytial virus A isolate UU02-0038-V01, complete genome"
MZ515790,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0202-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15280,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-11-21,,"Human respiratory syncytial virus A isolate UU02-0202-V01, complete genome"
MZ515791,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8221-D04,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-11-12,,"Human respiratory syncytial virus B isolate OX02-8221-D04, complete genome"
MZ515792,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0028-D09,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15236,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-01-08,,"Human respiratory syncytial virus B isolate UU02-0028-D09, complete genome"
MZ515794,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU01A-0117-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15274,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-12-12,,"Human respiratory syncytial virus B isolate UU01A-0117-V02, complete genome"
MZ515795,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8132-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15279,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-12-06,,"Human respiratory syncytial virus A isolate OX02-8132-D02, complete genome"
MZ515796,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0102-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15294,GenBank,partial,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-12-20,,"Human respiratory syncytial virus A isolate SE02-0102-D02, partial genome"
MZ515797,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0021-D06,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15281,GenBank,complete,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2020-01-03,,"Human respiratory syncytial virus A isolate SE02-0021-D06, complete genome"
MZ515798,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0044-D06,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15249,GenBank,partial,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-01-31,,"Human respiratory syncytial virus B isolate UU02-0044-D06, partial genome"
MZ515799,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU03-0367-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-01-14,,"Human respiratory syncytial virus B isolate UU03-0367-V02, complete genome"
MZ515800,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,IM02-0006-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-12-17,,"Human respiratory syncytial virus A isolate IM02-0006-V01, complete genome"
MZ515801,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU01A-0123-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-11-25,,"Human respiratory syncytial virus A isolate UU01A-0123-V02, complete genome"
MZ515802,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-9839-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15271,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-12-03,,"Human respiratory syncytial virus A isolate OX02-9839-V01, complete genome"
MZ515803,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU01A-0105-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-11-19,,"Human respiratory syncytial virus A isolate UU01A-0105-V02, complete genome"
MZ515804,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0021-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15286,GenBank,complete,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-12-30,,"Human respiratory syncytial virus A isolate SE02-0021-D02, complete genome"
MZ515805,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0044-D04,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15274,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-01-29,,"Human respiratory syncytial virus B isolate UU02-0044-D04, complete genome"
MZ515807,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8385-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-06,,"Human respiratory syncytial virus B isolate OX02-8385-V01, complete genome"
MZ515808,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0028-D11,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15037,GenBank,partial,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-01-10,,"Human respiratory syncytial virus B isolate UU02-0028-D11, partial genome"
MZ515809,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX01A-8071-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-12-06,,"Human respiratory syncytial virus B isolate OX01A-8071-V02, complete genome"
MZ515810,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0102-D03,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15242,GenBank,partial,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-12-21,,"Human respiratory syncytial virus A isolate SE02-0102-D03, partial genome"
MZ515811,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8168-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-01-12,,"Human respiratory syncytial virus A isolate OX02-8168-D02, complete genome"
MZ515812,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8620-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15276,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-12-04,,"Human respiratory syncytial virus B isolate OX02-8620-V01, complete genome"
MZ515813,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU01A-0055-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15271,GenBank,partial,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-12-03,,"Human respiratory syncytial virus B isolate UU01A-0055-V02, partial genome"
MZ515814,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,IM02-0006-D03,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15273,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-12-19,,"Human respiratory syncytial virus A isolate IM02-0006-D03, complete genome"
MZ515815,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,IM02-0006-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15273,GenBank,partial,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-12-18,,"Human respiratory syncytial virus A isolate IM02-0006-D02, partial genome"
MZ515816,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0001-D06,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),14811,GenBank,partial,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2018-12-09,,"Human respiratory syncytial virus A isolate SE02-0001-D06, partial genome"
MZ515818,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0041-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15229,GenBank,partial,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-01-18,,"Human respiratory syncytial virus B isolate UU02-0041-V01, partial genome"
MZ515819,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8663-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15279,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-10-22,,"Human respiratory syncytial virus A isolate OX02-8663-V01, complete genome"
MZ515820,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8304-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-19,,"Human respiratory syncytial virus B isolate OX02-8304-V01, complete genome"
MZ515821,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0167-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15273,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2020-01-20,,"Human respiratory syncytial virus A isolate UU02-0167-V01, complete genome"
MZ515822,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8889-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),14992,GenBank,partial,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-28,,"Human respiratory syncytial virus A isolate OX02-8889-D02, partial genome"
MZ515823,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8903-D02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15277,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-01-03,,"Human respiratory syncytial virus B isolate OX02-8903-D02, complete genome"
MZ515824,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,IM02-0003-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15232,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2018-11-23,,"Human respiratory syncytial virus B isolate IM02-0003-V01, complete genome"
MZ515825,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU01A-0159-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15272,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-12-03,,"Human respiratory syncytial virus A isolate UU01A-0159-V02, complete genome"
MZ515826,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0040-D04,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15235,GenBank,partial,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-01-19,,"Human respiratory syncytial virus A isolate UU02-0040-D04, partial genome"
MZ515827,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,SE02-0016-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,complete,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-12-11,,"Human respiratory syncytial virus B isolate SE02-0016-V01, complete genome"
MZ515828,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,UU02-0090-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15278,GenBank,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2018-12-20,,"Human respiratory syncytial virus A isolate UU02-0090-V01, complete genome"
MZ515829,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX02-8349-V01,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15231,GenBank,partial,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-11-06,,"Human respiratory syncytial virus B isolate OX02-8349-V01, partial genome"
MZ515830,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.",2021-08-18T00:00:00Z,OX01A-8315-V02,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15275,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2019-12-09,,"Human respiratory syncytial virus B isolate OX01A-8315-V02, complete genome"
