Disease	Gene symbol	Inheritance	Inheritance detail	OMIM_ID	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	UniProt	Ensembl	OMIM	GWAS	omni	gnomAD r2 GRCh37	gnomAD r3 GRCh38	pdb	HGNC	ORPHA	HPO	AmiGo	Alpha Fold	Gemma	ClinGen
TET2 deficiency	TET2	AR	NA	NA	High DN T cells, low TH1, Th17 and TFH	Normal numbers of B cells with low memory	Variable	NA	Poor fas-mediated apoptosis	ALPS-like, viral ifnection, EBV+ lymphoma, FTT, developmenal delay, EBV viremia	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072	uniprot.org/TET2	ensembl.org/TET2	omim.org/TET2	GWAS/TET2	omni/TET2	gnomad.org/r2TET2	gnomad.org/r3TET2	rcsb.org/TET2	genenames.org/TET2	hpo/ORPHA/TET2	hpo.jax.org/TET2	amigo.org/TET2	alphafold/TET2	gemma/TET2	clinicalgenome.org/TET2
CD137 deficiency 41BB	TNFRSF9	AR	NA	602250	Normal	Normal	Low	Normal	NA	EBV lymphoproliferation, B-cell lymphoma	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	NA	NA	HP:0002715	HP:0020072	uniprot.org/TNFRSF9	ensembl.org/TNFRSF9	omim.org/TNFRSF9	GWAS/TNFRSF9	omni/TNFRSF9	gnomad.org/r2TNFRSF9	gnomad.org/r3TNFRSF9	rcsb.org/TNFRSF9	genenames.org/TNFRSF9	hpo/ORPHA/TNFRSF9	hpo.jax.org/TNFRSF9	amigo.org/TNFRSF9	alphafold/TNFRSF9	gemma/TNFRSF9	clinicalgenome.org/TNFRSF9
XIAP deficiency XLP2	XIAP	XL	NA	300079	Normal or Increased activated T cells; low/normal iNK T cells	Normal or reduced Memory B cells	Variable	Normal	NA	EBV infection, Splenomegaly, lymphoproliferation, HLH, Colitis, IBD, hepatitis, Low iNKT cells, hypogammaglobulinemia	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072	uniprot.org/XIAP	ensembl.org/XIAP	omim.org/XIAP	GWAS/XIAP	omni/XIAP	gnomad.org/r2XIAP	gnomad.org/r3XIAP	rcsb.org/XIAP	genenames.org/XIAP	hpo/ORPHA/XIAP	hpo.jax.org/XIAP	amigo.org/XIAP	alphafold/XIAP	gemma/XIAP	clinicalgenome.org/XIAP
Specific granule deficiency	CEBPE	AR	NA	189965	NA	NA	NA	Low	NA	Neutrophils with bilobed nuclei	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.2	D71	HP:0002715	HP:0410252	uniprot.org/CEBPE	ensembl.org/CEBPE	omim.org/CEBPE	GWAS/CEBPE	omni/CEBPE	gnomad.org/r2CEBPE	gnomad.org/r3CEBPE	rcsb.org/CEBPE	genenames.org/CEBPE	hpo/ORPHA/CEBPE	hpo.jax.org/CEBPE	amigo.org/CEBPE	alphafold/CEBPE	gemma/CEBPE	clinicalgenome.org/CEBPE
3-Methylglutaconic aciduria	CLPB	AR	NA	616254	NA	NA	NA	Low	NA	Neurocognitive developmental aberrations, microcephaly, hypoglycemia, hypotonia, ataxia, seizures, cataracts, IUGR	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/CLPB	ensembl.org/CLPB	omim.org/CLPB	GWAS/CLPB	omni/CLPB	gnomad.org/r2CLPB	gnomad.org/r3CLPB	rcsb.org/CLPB	genenames.org/CLPB	hpo/ORPHA/CLPB	hpo.jax.org/CLPB	amigo.org/CLPB	alphafold/CLPB	gemma/CLPB	clinicalgenome.org/CLPB
G-CSF receptor deficiency	CSF3R	AR	NA	138971	NA	NA	NA	Low	NA	NA	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/CSF3R	ensembl.org/CSF3R	omim.org/CSF3R	GWAS/CSF3R	omni/CSF3R	gnomad.org/r2CSF3R	gnomad.org/r3CSF3R	rcsb.org/CSF3R	genenames.org/CSF3R	hpo/ORPHA/CSF3R	hpo.jax.org/CSF3R	amigo.org/CSF3R	alphafold/CSF3R	gemma/CSF3R	clinicalgenome.org/CSF3R
CXCR2 deficiency	CXCR2	AR	NA	NA	Normal numbers of CD4+ T cells, variable CD8+ T cells, NK cells normal	Normal	High serum IgG, IgA, IgM	Severe neutropenia	NA	Myelokathexis 3/6 pts, recurrent gingivitis, oral ulcers, hypergammaglobulinemia	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	NA	NA	NA	NA	uniprot.org/CXCR2	ensembl.org/CXCR2	omim.org/CXCR2	GWAS/CXCR2	omni/CXCR2	gnomad.org/r2CXCR2	gnomad.org/r3CXCR2	rcsb.org/CXCR2	genenames.org/CXCR2	hpo/ORPHA/CXCR2	hpo.jax.org/CXCR2	amigo.org/CXCR2	alphafold/CXCR2	gemma/CXCR2	clinicalgenome.org/CXCR2
Schwachman Diamond syndrome due to DNAJC21 deficiency	DNAJC21	AR	NA	617048	NA	NA	NA	Low	NA	Metaphyseal changes, short stature, developmental delay, pancreatic dysfunction, bone marrow failure	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.2	D71	HP:0002715	HP:0410252	uniprot.org/DNAJC21	ensembl.org/DNAJC21	omim.org/DNAJC21	GWAS/DNAJC21	omni/DNAJC21	gnomad.org/r2DNAJC21	gnomad.org/r3DNAJC21	rcsb.org/DNAJC21	genenames.org/DNAJC21	hpo/ORPHA/DNAJC21	hpo.jax.org/DNAJC21	amigo.org/DNAJC21	alphafold/DNAJC21	gemma/DNAJC21	clinicalgenome.org/DNAJC21
Schwachman Diamond syndrome due to EFL1 deficiency	EFL1	AR	NA	617941	NA	NA	NA	Low	NA	Metaphyseal changes, short stature, developmental delay, pancreatic dysfunction, bone marrow failure	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.2	D71	HP:0002715	HP:0410252	uniprot.org/EFL1	ensembl.org/EFL1	omim.org/EFL1	GWAS/EFL1	omni/EFL1	gnomad.org/r2EFL1	gnomad.org/r3EFL1	rcsb.org/EFL1	genenames.org/EFL1	hpo/ORPHA/EFL1	hpo.jax.org/EFL1	amigo.org/EFL1	alphafold/EFL1	gemma/EFL1	clinicalgenome.org/EFL1
Elastase deficiency SCN1	ELANE	AD	NA	130130	NA	NA	NA	Low	NA	Susceptibility to MDS/leukemia, Severe congenital neutropenia or cyclic neutropenia	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/ELANE	ensembl.org/ELANE	omim.org/ELANE	GWAS/ELANE	omni/ELANE	gnomad.org/r2ELANE	gnomad.org/r3ELANE	rcsb.org/ELANE	genenames.org/ELANE	hpo/ORPHA/ELANE	hpo.jax.org/ELANE	amigo.org/ELANE	alphafold/ELANE	gemma/ELANE	clinicalgenome.org/ELANE
G6PC3 deficiency SCN4	G6PC3	AR	NA	611045	NA	NA	NA	Low	NA	Structural heart defects, urogenital abnormalities, inner ear deafness, and venous angiectasias of trunks and limbs	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/G6PC3	ensembl.org/G6PC3	omim.org/G6PC3	GWAS/G6PC3	omni/G6PC3	gnomad.org/r2G6PC3	gnomad.org/r3G6PC3	rcsb.org/G6PC3	genenames.org/G6PC3	hpo/ORPHA/G6PC3	hpo.jax.org/G6PC3	amigo.org/G6PC3	alphafold/G6PC3	gemma/G6PC3	clinicalgenome.org/G6PC3
Glycogen storage disease type 1b	G6PT1	AR	NA	602671	NA	NA	NA	Low	Monocytes	Fasting hypoglycemia, lactic acidosis, hyperlipidemia, hepatomegaly	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/G6PT1	ensembl.org/G6PT1	omim.org/G6PT1	GWAS/G6PT1	omni/G6PT1	gnomad.org/r2G6PT1	gnomad.org/r3G6PT1	rcsb.org/G6PT1	genenames.org/G6PT1	hpo/ORPHA/G6PT1	hpo.jax.org/G6PT1	amigo.org/G6PT1	alphafold/G6PT1	gemma/G6PT1	clinicalgenome.org/G6PT1
GFI 1 deficiency SCN2	GFI1	AD	NA	600871	NA	NA	NA	Low	NA	B/T lymphopenia	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/GFI1	ensembl.org/GFI1	omim.org/GFI1	GWAS/GFI1	omni/GFI1	gnomad.org/r2GFI1	gnomad.org/r3GFI1	rcsb.org/GFI1	genenames.org/GFI1	hpo/ORPHA/GFI1	hpo.jax.org/GFI1	amigo.org/GFI1	alphafold/GFI1	gemma/GFI1	clinicalgenome.org/GFI1
HAX1 deficiency Kostmann Disease (SCN3)	HAX1	AR	NA	605998	NA	NA	NA	Low	NA	Cognitive and neurological defects in patients with defects in both HAX1 isoforms, susceptibility to MDS/leukemia	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/HAX1	ensembl.org/HAX1	omim.org/HAX1	GWAS/HAX1	omni/HAX1	gnomad.org/r2HAX1	gnomad.org/r3HAX1	rcsb.org/HAX1	genenames.org/HAX1	hpo/ORPHA/HAX1	hpo.jax.org/HAX1	amigo.org/HAX1	alphafold/HAX1	gemma/HAX1	clinicalgenome.org/HAX1
HYOU1 deficiency	HYOU1	AR	NA	601746	NA	NA	NA	Low	NA	Hypoglycemia, inflammatory complications	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/HYOU1	ensembl.org/HYOU1	omim.org/HYOU1	GWAS/HYOU1	omni/HYOU1	gnomad.org/r2HYOU1	gnomad.org/r3HYOU1	rcsb.org/HYOU1	genenames.org/HYOU1	hpo/ORPHA/HYOU1	hpo.jax.org/HYOU1	amigo.org/HYOU1	alphafold/HYOU1	gemma/HYOU1	clinicalgenome.org/HYOU1
JAGN1 deficiency	JAGN1	AR	NA	616012	NA	NA	NA	Low	NA	Myeloid maturation arrest, osteopenia	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/JAGN1	ensembl.org/JAGN1	omim.org/JAGN1	GWAS/JAGN1	omni/JAGN1	gnomad.org/r2JAGN1	gnomad.org/r3JAGN1	rcsb.org/JAGN1	genenames.org/JAGN1	hpo/ORPHA/JAGN1	hpo.jax.org/JAGN1	amigo.org/JAGN1	alphafold/JAGN1	gemma/JAGN1	clinicalgenome.org/JAGN1
P14/LAMTOR2 deficiency	LAMTOR2	AR	NA	610389	NA	NA	NA	Low	Monocytes	Neutropenia, Hypogammaglobulinemia ¯CD8 cytotoxicity, partial albinism, growth failure	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/LAMTOR2	ensembl.org/LAMTOR2	omim.org/LAMTOR2	GWAS/LAMTOR2	omni/LAMTOR2	gnomad.org/r2LAMTOR2	gnomad.org/r3LAMTOR2	rcsb.org/LAMTOR2	genenames.org/LAMTOR2	hpo/ORPHA/LAMTOR2	hpo.jax.org/LAMTOR2	amigo.org/LAMTOR2	alphafold/LAMTOR2	gemma/LAMTOR2	clinicalgenome.org/LAMTOR2
Shwachman-Diamond Syndrome due to SBSD deficiency	SBDS	AR	NA	607444	NA	NA	NA	Low	NA	Pancytopenia, exocrine pancreatic insufficiency, chondrodysplasia	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.2	D71	HP:0002715	HP:0410252	uniprot.org/SBDS	ensembl.org/SBDS	omim.org/SBDS	GWAS/SBDS	omni/SBDS	gnomad.org/r2SBDS	gnomad.org/r3SBDS	rcsb.org/SBDS	genenames.org/SBDS	hpo/ORPHA/SBDS	hpo.jax.org/SBDS	amigo.org/SBDS	alphafold/SBDS	gemma/SBDS	clinicalgenome.org/SBDS
SMARCD2 deficiency	SMARCD2	AR	NA	601736	NA	NA	NA	Low	NA	Neutropenia, developmental aberrations, skeletal abnormalities, hematopoietic stem cells, myelodysplasia	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/SMARCD2	ensembl.org/SMARCD2	omim.org/SMARCD2	GWAS/SMARCD2	omni/SMARCD2	gnomad.org/r2SMARCD2	gnomad.org/r3SMARCD2	rcsb.org/SMARCD2	genenames.org/SMARCD2	hpo/ORPHA/SMARCD2	hpo.jax.org/SMARCD2	amigo.org/SMARCD2	alphafold/SMARCD2	gemma/SMARCD2	clinicalgenome.org/SMARCD2
SRP54 deficiency	SRP54	AD	NA	NA	NA	NA	NA	Low	NA	Schwachman Diamond features	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	NA	NA	HP:0002715	HP:0410252	uniprot.org/SRP54	ensembl.org/SRP54	omim.org/SRP54	GWAS/SRP54	omni/SRP54	gnomad.org/r2SRP54	gnomad.org/r3SRP54	rcsb.org/SRP54	genenames.org/SRP54	hpo/ORPHA/SRP54	hpo.jax.org/SRP54	amigo.org/SRP54	alphafold/SRP54	gemma/SRP54	clinicalgenome.org/SRP54
Barth Syndrome, 3-Methylglutaconic aciduria type II	TAZ	XL	NA	300394	NA	NA	NA	Low	NA	Cardiomyopathy, myopathy, growth retardation	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/TAZ	ensembl.org/TAZ	omim.org/TAZ	GWAS/TAZ	omni/TAZ	gnomad.org/r2TAZ	gnomad.org/r3TAZ	rcsb.org/TAZ	genenames.org/TAZ	hpo/ORPHA/TAZ	hpo.jax.org/TAZ	amigo.org/TAZ	alphafold/TAZ	gemma/TAZ	clinicalgenome.org/TAZ
Clericuzio syndrome Poikiloderma with neutropenia	USB1	AR	NA	613276	NA	NA	NA	Low	NA	Retinopathy, developmental delay, facial dysmorphisms, poikiloderma	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/USB1	ensembl.org/USB1	omim.org/USB1	GWAS/USB1	omni/USB1	gnomad.org/r2USB1	gnomad.org/r3USB1	rcsb.org/USB1	genenames.org/USB1	hpo/ORPHA/USB1	hpo.jax.org/USB1	amigo.org/USB1	alphafold/USB1	gemma/USB1	clinicalgenome.org/USB1
Cohen syndrome	VPS13B	AR	NA	607817	NA	NA	NA	Low	NA	Dysmorphism, mental retardation, obesity, deafness, neutropenia	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/VPS13B	ensembl.org/VPS13B	omim.org/VPS13B	GWAS/VPS13B	omni/VPS13B	gnomad.org/r2VPS13B	gnomad.org/r3VPS13B	rcsb.org/VPS13B	genenames.org/VPS13B	hpo/ORPHA/VPS13B	hpo.jax.org/VPS13B	amigo.org/VPS13B	alphafold/VPS13B	gemma/VPS13B	clinicalgenome.org/VPS13B
VPS45 deficiency SCN5	VPS45	AR	NA	610035	NA	NA	NA	Low	NA	Extramedullary hematopoiesis, bone marrow fibrosis, nephromegaly	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/VPS45	ensembl.org/VPS45	omim.org/VPS45	GWAS/VPS45	omni/VPS45	gnomad.org/r2VPS45	gnomad.org/r3VPS45	rcsb.org/VPS45	genenames.org/VPS45	hpo/ORPHA/VPS45	hpo.jax.org/VPS45	amigo.org/VPS45	alphafold/VPS45	gemma/VPS45	clinicalgenome.org/VPS45
X-linked neutropenia/ myelodysplasia WAS GOF	WAS	XL	GOF	300392	NA	NA	NA	Low	NA	Neutropenia, myeloid maturation arrest, monocytopenia, variable lymphoid anomalies	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252	uniprot.org/WAS	ensembl.org/WAS	omim.org/WAS	GWAS/WAS	omni/WAS	gnomad.org/r2WAS	gnomad.org/r3WAS	rcsb.org/WAS	genenames.org/WAS	hpo/ORPHA/WAS	hpo.jax.org/WAS	amigo.org/WAS	alphafold/WAS	gemma/WAS	clinicalgenome.org/WAS
b actin deficiency	ACTB	AD	NA	102630	NA	NA	NA	NA	NA	Mental retardation, short stature	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0004322	uniprot.org/ACTB	ensembl.org/ACTB	omim.org/ACTB	GWAS/ACTB	omni/ACTB	gnomad.org/r2ACTB	gnomad.org/r3ACTB	rcsb.org/ACTB	genenames.org/ACTB	hpo/ORPHA/ACTB	hpo.jax.org/ACTB	amigo.org/ACTB	alphafold/ACTB	gemma/ACTB	clinicalgenome.org/ACTB
CEBPE defects	CEBPE	AR	GOF	NA	NA	NA	NA	NA	Mild bleeding diathesis	Recurrent abdominal pain, aseptic fevers, inflammation, abscesses, type I IFN signature	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0010280	uniprot.org/CEBPE	ensembl.org/CEBPE	omim.org/CEBPE	GWAS/CEBPE	omni/CEBPE	gnomad.org/r2CEBPE	gnomad.org/r3CEBPE	rcsb.org/CEBPE	genenames.org/CEBPE	hpo/ORPHA/CEBPE	hpo.jax.org/CEBPE	amigo.org/CEBPE	alphafold/CEBPE	gemma/CEBPE	clinicalgenome.org/CEBPE
Cystic fibrosis	CFTR	AR	NA	602421	NA	NA	NA	Normal	Macrophage dysfunction	Respiratory infections, pancreatic insufficiency, elevated sweat chloride	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0002783	uniprot.org/CFTR	ensembl.org/CFTR	omim.org/CFTR	GWAS/CFTR	omni/CFTR	gnomad.org/r2CFTR	gnomad.org/r3CFTR	rcsb.org/CFTR	genenames.org/CFTR	hpo/ORPHA/CFTR	hpo.jax.org/CFTR	amigo.org/CFTR	alphafold/CFTR	gemma/CFTR	clinicalgenome.org/CFTR
Papillon-Lefèvre Syndrome	CTSC	AR	NA	602365	NA	NA	NA	Normal	NA	Periodontitis, palmoplantar hyperkeratosis in some patients	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0000704	uniprot.org/CTSC	ensembl.org/CTSC	omim.org/CTSC	GWAS/CTSC	omni/CTSC	gnomad.org/r2CTSC	gnomad.org/r3CTSC	rcsb.org/CTSC	genenames.org/CTSC	hpo/ORPHA/CTSC	hpo.jax.org/CTSC	amigo.org/CTSC	alphafold/CTSC	gemma/CTSC	clinicalgenome.org/CTSC
Leukocyte adhesion deficiency type 3 LAD3	FERMT3	AR	NA	607901	NA	NA	NA	High	NA	LAD type 1 plus bleeding tendency	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0410258	uniprot.org/FERMT3	ensembl.org/FERMT3	omim.org/FERMT3	GWAS/FERMT3	omni/FERMT3	gnomad.org/r2FERMT3	gnomad.org/r3FERMT3	rcsb.org/FERMT3	genenames.org/FERMT3	hpo/ORPHA/FERMT3	hpo.jax.org/FERMT3	amigo.org/FERMT3	alphafold/FERMT3	gemma/FERMT3	clinicalgenome.org/FERMT3
Localized juvenile periodontitis	FPR1	AR	NA	136537	NA	NA	NA	Normal	NA	Periodontitis only	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0000704	uniprot.org/FPR1	ensembl.org/FPR1	omim.org/FPR1	GWAS/FPR1	omni/FPR1	gnomad.org/r2FPR1	gnomad.org/r3FPR1	rcsb.org/FPR1	genenames.org/FPR1	hpo/ORPHA/FPR1	hpo.jax.org/FPR1	amigo.org/FPR1	alphafold/FPR1	gemma/FPR1	clinicalgenome.org/FPR1
Leukocyte adhesion deficiency type 1 LAD1	ITGB2	AR	NA	600065	NA	NA	NA	High	NA	Delayed cord separation, skin ulcers, periodontitis, leukocytosis	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D84.0	HP:0002715	HP:0410258	uniprot.org/ITGB2	ensembl.org/ITGB2	omim.org/ITGB2	GWAS/ITGB2	omni/ITGB2	gnomad.org/r2ITGB2	gnomad.org/r3ITGB2	rcsb.org/ITGB2	genenames.org/ITGB2	hpo/ORPHA/ITGB2	hpo.jax.org/ITGB2	amigo.org/ITGB2	alphafold/ITGB2	gemma/ITGB2	clinicalgenome.org/ITGB2
Neutropenia with combined immune deficiency due to MKL1 deficiency	MKL1	AR	NA	606078	NA	NA	NA	Low	NA	Mild thrombocytopenia	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0410252	uniprot.org/MKL1	ensembl.org/MKL1	omim.org/MKL1	GWAS/MKL1	omni/MKL1	gnomad.org/r2MKL1	gnomad.org/r3MKL1	rcsb.org/MKL1	genenames.org/MKL1	hpo/ORPHA/MKL1	hpo.jax.org/MKL1	amigo.org/MKL1	alphafold/MKL1	gemma/MKL1	clinicalgenome.org/MKL1
Rac 2 deficiency LOF	RAC2	AD	LOF	602049	NA	NA	NA	High	NA	Poor wound healing, leukocytosis	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0410258	uniprot.org/RAC2	ensembl.org/RAC2	omim.org/RAC2	GWAS/RAC2	omni/RAC2	gnomad.org/r2RAC2	gnomad.org/r3RAC2	rcsb.org/RAC2	genenames.org/RAC2	hpo/ORPHA/RAC2	hpo.jax.org/RAC2	amigo.org/RAC2	alphafold/RAC2	gemma/RAC2	clinicalgenome.org/RAC2
Leukocyte adhesion deficiency type 2   LAD2	SLC35C1	AR	NA	605881	NA	NA	NA	High	NA	Mild LAD type 1 features with hh-blood group, growth retardation, developmental delay	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0410258	uniprot.org/SLC35C1	ensembl.org/SLC35C1	omim.org/SLC35C1	GWAS/SLC35C1	omni/SLC35C1	gnomad.org/r2SLC35C1	gnomad.org/r3SLC35C1	rcsb.org/SLC35C1	genenames.org/SLC35C1	hpo/ORPHA/SLC35C1	hpo.jax.org/SLC35C1	amigo.org/SLC35C1	alphafold/SLC35C1	gemma/SLC35C1	clinicalgenome.org/SLC35C1
WDR1 deficiency Lazy leukocyte	WDR1	AR	NA	604734	NA	NA	NA	Low	NA	Mild neutropenia, poor wound healing, severe stomatitis, neutrophil nuclei herniate	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0010280	uniprot.org/WDR1	ensembl.org/WDR1	omim.org/WDR1	GWAS/WDR1	omni/WDR1	gnomad.org/r2WDR1	gnomad.org/r3WDR1	rcsb.org/WDR1	genenames.org/WDR1	hpo/ORPHA/WDR1	hpo.jax.org/WDR1	amigo.org/WDR1	alphafold/WDR1	gemma/WDR1	clinicalgenome.org/WDR1
Autosomal recessive CGD p22phox	CYBA	AR	NA	608508	NA	NA	Normal	Normal	Neutrophil dysfunction	Infections, autoinflammatory phenotype	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	uniprot.org/CYBA	ensembl.org/CYBA	omim.org/CYBA	GWAS/CYBA	omni/CYBA	gnomad.org/r2CYBA	gnomad.org/r3CYBA	rcsb.org/CYBA	genenames.org/CYBA	hpo/ORPHA/CYBA	hpo.jax.org/CYBA	amigo.org/CYBA	alphafold/CYBA	gemma/CYBA	clinicalgenome.org/CYBA
X-linked chronic granulomatous disease CGD, gp91phox	CYBB	XL	NA	300481	NA	NA	Normal	Normal	Neutrophil dysfunction	Infections, autoinflammatory phenotype, IBD, McLeod phenotype in patients with deletions extending into the contiguous Kell locus	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	uniprot.org/CYBB	ensembl.org/CYBB	omim.org/CYBB	GWAS/CYBB	omni/CYBB	gnomad.org/r2CYBB	gnomad.org/r3CYBB	rcsb.org/CYBB	genenames.org/CYBB	hpo/ORPHA/CYBB	hpo.jax.org/CYBB	amigo.org/CYBB	alphafold/CYBB	gemma/CYBB	clinicalgenome.org/CYBB
Autosomal recessive CGD p47phox	NCF1	AR	NA	608512	NA	NA	Normal	Normal	Neutrophil dysfunction	Infections, autoinflammatory phenotype	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	uniprot.org/NCF1	ensembl.org/NCF1	omim.org/NCF1	GWAS/NCF1	omni/NCF1	gnomad.org/r2NCF1	gnomad.org/r3NCF1	rcsb.org/NCF1	genenames.org/NCF1	hpo/ORPHA/NCF1	hpo.jax.org/NCF1	amigo.org/NCF1	alphafold/NCF1	gemma/NCF1	clinicalgenome.org/NCF1
Autosomal recessive CGD p67phox	NCF2	AR	NA	608515	NA	NA	Normal	Normal	Neutrophil dysfunction	Infections, autoinflammatory phenotype	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	uniprot.org/NCF2	ensembl.org/NCF2	omim.org/NCF2	GWAS/NCF2	omni/NCF2	gnomad.org/r2NCF2	gnomad.org/r3NCF2	rcsb.org/NCF2	genenames.org/NCF2	hpo/ORPHA/NCF2	hpo.jax.org/NCF2	amigo.org/NCF2	alphafold/NCF2	gemma/NCF2	clinicalgenome.org/NCF2
Autosomal recessive CGD p40phox	NCF4	AR	NA	601488	NA	NA	Normal	Normal	Neutrophil dysfunction	Infections, autoinflammatory phenotype	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	uniprot.org/NCF4	ensembl.org/NCF4	omim.org/NCF4	GWAS/NCF4	omni/NCF4	gnomad.org/r2NCF4	gnomad.org/r3NCF4	rcsb.org/NCF4	genenames.org/NCF4	hpo/ORPHA/NCF4	hpo.jax.org/NCF4	amigo.org/NCF4	alphafold/NCF4	gemma/NCF4	clinicalgenome.org/NCF4
Autosomal recessive CGD EROS	CYBC1	AR	NA	618334	NA	NA	Normal	Normal	Neutrophil dysfunction	NA	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	NA	NA	HP:0002715	HP:0002718	uniprot.org/CYBC1	ensembl.org/CYBC1	omim.org/CYBC1	GWAS/CYBC1	omni/CYBC1	gnomad.org/r2CYBC1	gnomad.org/r3CYBC1	rcsb.org/CYBC1	genenames.org/CYBC1	hpo/ORPHA/CYBC1	hpo.jax.org/CYBC1	amigo.org/CYBC1	alphafold/CYBC1	gemma/CYBC1	clinicalgenome.org/CYBC1
